threshold,precision,recall,f1,tp,fp,fn,tn
0.35000000000000003,0.10132890365448505,0.8970588235294118,0.18208955223880596,61,541,7,1391
0.36,0.10204081632653061,0.8823529411764706,0.18292682926829268,60,528,8,1404
0.37,0.10471204188481675,0.8823529411764706,0.187207488299532,60,513,8,1419
0.38,0.10357142857142858,0.8529411764705882,0.18471337579617833,58,502,10,1430
0.39,0.10536044362292052,0.8382352941176471,0.18719211822660098,57,484,11,1448
0.4,0.10831721470019343,0.8235294117647058,0.19145299145299147,56,461,12,1471
0.41000000000000003,0.112,0.8235294117647058,0.19718309859154928,56,444,12,1488
0.42,0.1154639175257732,0.8235294117647058,0.20253164556962025,56,429,12,1503
0.43,0.11652542372881355,0.8088235294117647,0.2037037037037037,55,417,13,1515
0.44,0.11904761904761904,0.8088235294117647,0.20754716981132076,55,407,13,1525
0.45,0.12276785714285714,0.8088235294117647,0.2131782945736434,55,393,13,1539
0.46,0.12356979405034325,0.7941176470588235,0.21386138613861386,54,383,14,1549
0.47000000000000003,0.1258741258741259,0.7941176470588235,0.21730382293762576,54,375,14,1557
0.48,0.12705882352941175,0.7941176470588235,0.21906693711967545,54,371,14,1561
0.49,0.12895377128953772,0.7794117647058824,0.22129436325678498,53,358,15,1574
0.5,0.1311881188118812,0.7794117647058824,0.2245762711864407,53,351,15,1581
0.51,0.1326530612244898,0.7647058823529411,0.22608695652173913,52,340,16,1592
0.52,0.13385826771653545,0.75,0.22717149220489977,51,330,17,1602
0.53,0.13896457765667575,0.75,0.23448275862068965,51,316,17,1616
0.54,0.1408839779005525,0.75,0.2372093023255814,51,311,17,1621
0.55,0.1440677966101695,0.75,0.24170616113744076,51,303,17,1629
0.56,0.1495601173020528,0.75,0.24938875305623473,51,290,17,1642
0.5700000000000001,0.15315315315315314,0.75,0.2543640897755611,51,282,17,1650
0.58,0.15789473684210525,0.75,0.2608695652173913,51,272,17,1660
0.59,0.1650485436893204,0.75,0.27055702917771884,51,258,17,1674
0.6,0.16216216216216217,0.7058823529411765,0.26373626373626374,48,248,20,1684
0.61,0.16666666666666666,0.7058823529411765,0.2696629213483146,48,240,20,1692
0.62,0.16546762589928057,0.6764705882352942,0.2658959537572254,46,232,22,1700
0.63,0.17228464419475656,0.6764705882352942,0.2746268656716418,46,221,22,1711
0.64,0.1803921568627451,0.6764705882352942,0.2848297213622291,46,209,22,1723
0.65,0.18548387096774194,0.6764705882352942,0.2911392405063291,46,202,22,1730
0.66,0.19491525423728814,0.6764705882352942,0.3026315789473684,46,190,22,1742
0.67,0.20353982300884957,0.6764705882352942,0.3129251700680272,46,180,22,1752
0.68,0.2062780269058296,0.6764705882352942,0.3161512027491409,46,177,22,1755
0.6900000000000001,0.21226415094339623,0.6617647058823529,0.32142857142857145,45,167,23,1765
0.7000000000000001,0.2222222222222222,0.6470588235294118,0.3308270676691729,44,154,24,1778
0.71,0.23783783783783785,0.6470588235294118,0.34782608695652173,44,141,24,1791
0.72,0.24444444444444444,0.6470588235294118,0.3548387096774194,44,136,24,1796
0.73,0.24855491329479767,0.6323529411764706,0.35684647302904565,43,130,25,1802
0.74,0.25748502994011974,0.6323529411764706,0.3659574468085106,43,124,25,1808
0.75,0.2670807453416149,0.6323529411764706,0.37554585152838427,43,118,25,1814
0.76,0.2662337662337662,0.6029411764705882,0.36936936936936937,41,113,27,1819
0.77,0.26973684210526316,0.6029411764705882,0.37272727272727274,41,111,27,1821
0.78,0.27702702702702703,0.6029411764705882,0.37962962962962965,41,107,27,1825
0.79,0.2962962962962963,0.5882352941176471,0.39408866995073893,40,95,28,1837
0.8,0.31746031746031744,0.5882352941176471,0.41237113402061853,40,86,28,1846
0.81,0.33613445378151263,0.5882352941176471,0.42780748663101603,40,79,28,1853
0.8200000000000001,0.3669724770642202,0.5882352941176471,0.4519774011299435,40,69,28,1863
0.8300000000000001,0.37142857142857144,0.5735294117647058,0.4508670520231214,39,66,29,1866
0.84,0.37623762376237624,0.5588235294117647,0.44970414201183434,38,63,30,1869
0.85,0.3917525773195876,0.5588235294117647,0.46060606060606063,38,59,30,1873
0.86,0.38202247191011235,0.5,0.43312101910828027,34,55,34,1877
0.87,0.3780487804878049,0.45588235294117646,0.41333333333333333,31,51,37,1881
0.88,0.39473684210526316,0.4411764705882353,0.4166666666666667,30,46,38,1886
0.89,0.42857142857142855,0.4411764705882353,0.43478260869565216,30,40,38,1892
0.9,0.453125,0.4264705882352941,0.4393939393939394,29,35,39,1897
0.91,0.49122807017543857,0.4117647058823529,0.448,28,29,40,1903
0.92,0.5,0.36764705882352944,0.423728813559322,25,25,43,1907
0.93,0.4722222222222222,0.25,0.3269230769230769,17,19,51,1913
0.9400000000000001,0.5172413793103449,0.22058823529411764,0.30927835051546393,15,14,53,1918
0.9500000000000001,0.5217391304347826,0.17647058823529413,0.26373626373626374,12,11,56,1921
0.96,0.6428571428571429,0.1323529411764706,0.21951219512195122,9,5,59,1927
0.97,0.8,0.11764705882352941,0.20512820512820512,8,2,60,1930
0.98,0.8571428571428571,0.08823529411764706,0.16,6,1,62,1931
0.99,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
1.0,0.0,0.0,0.0,0,0,68,1932
