threshold,precision,recall,f1,tp,fp,fn,tn
0.63,0.9411764705882353,0.47058823529411764,0.6274509803921569,32,2,36,1930
0.64,0.9411764705882353,0.47058823529411764,0.6274509803921569,32,2,36,1930
0.65,0.9696969696969697,0.47058823529411764,0.6336633663366337,32,1,36,1931
0.66,0.9696969696969697,0.47058823529411764,0.6336633663366337,32,1,36,1931
0.67,0.9696969696969697,0.47058823529411764,0.6336633663366337,32,1,36,1931
0.68,0.9696969696969697,0.47058823529411764,0.6336633663366337,32,1,36,1931
0.6900000000000001,0.9696969696969697,0.47058823529411764,0.6336633663366337,32,1,36,1931
0.7000000000000001,0.9696969696969697,0.47058823529411764,0.6336633663366337,32,1,36,1931
0.71,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.72,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.73,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.74,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.75,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.76,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.77,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.78,0.9666666666666667,0.4264705882352941,0.5918367346938775,29,1,39,1931
0.79,0.9666666666666667,0.4264705882352941,0.5918367346938775,29,1,39,1931
0.8,0.9666666666666667,0.4264705882352941,0.5918367346938775,29,1,39,1931
0.81,0.9655172413793104,0.4117647058823529,0.5773195876288659,28,1,40,1931
0.8200000000000001,0.9642857142857143,0.39705882352941174,0.5625,27,1,41,1931
0.8300000000000001,0.9642857142857143,0.39705882352941174,0.5625,27,1,41,1931
0.84,0.9642857142857143,0.39705882352941174,0.5625,27,1,41,1931
0.85,0.9642857142857143,0.39705882352941174,0.5625,27,1,41,1931
0.86,0.9642857142857143,0.39705882352941174,0.5625,27,1,41,1931
0.87,1.0,0.38235294117647056,0.5531914893617021,26,0,42,1932
0.88,1.0,0.36764705882352944,0.5376344086021505,25,0,43,1932
0.89,1.0,0.35294117647058826,0.5217391304347826,24,0,44,1932
0.9,1.0,0.35294117647058826,0.5217391304347826,24,0,44,1932
0.91,1.0,0.35294117647058826,0.5217391304347826,24,0,44,1932
0.92,1.0,0.3382352941176471,0.5054945054945055,23,0,45,1932
0.93,1.0,0.3235294117647059,0.4888888888888889,22,0,46,1932
0.9400000000000001,1.0,0.29411764705882354,0.45454545454545453,20,0,48,1932
0.9500000000000001,1.0,0.27941176470588236,0.4367816091954023,19,0,49,1932
0.96,1.0,0.27941176470588236,0.4367816091954023,19,0,49,1932
0.97,1.0,0.2647058823529412,0.4186046511627907,18,0,50,1932
0.98,1.0,0.22058823529411764,0.3614457831325301,15,0,53,1932
0.99,1.0,0.14705882352941177,0.2564102564102564,10,0,58,1932
1.0,0.0,0.0,0.0,0,0,68,1932
