threshold,precision,recall,f1,tp,fp,fn,tn
0.4,0.8913043478260869,0.6029411764705882,0.7192982456140351,41,5,27,1927
0.41000000000000003,0.9069767441860465,0.5735294117647058,0.7027027027027027,39,4,29,1928
0.42,0.9069767441860465,0.5735294117647058,0.7027027027027027,39,4,29,1928
0.43,0.9047619047619048,0.5588235294117647,0.6909090909090909,38,4,30,1928
0.44,0.9024390243902439,0.5441176470588235,0.6788990825688074,37,4,31,1928
0.45,0.925,0.5441176470588235,0.6851851851851852,37,3,31,1929
0.46,0.925,0.5441176470588235,0.6851851851851852,37,3,31,1929
0.47000000000000003,0.9487179487179487,0.5441176470588235,0.6915887850467289,37,2,31,1930
0.48,0.9487179487179487,0.5441176470588235,0.6915887850467289,37,2,31,1930
0.49,0.9487179487179487,0.5441176470588235,0.6915887850467289,37,2,31,1930
0.5,0.9459459459459459,0.5147058823529411,0.6666666666666666,35,2,33,1930
0.51,0.9459459459459459,0.5147058823529411,0.6666666666666666,35,2,33,1930
0.52,0.9428571428571428,0.4852941176470588,0.6407766990291263,33,2,35,1930
0.53,0.9428571428571428,0.4852941176470588,0.6407766990291263,33,2,35,1930
0.54,0.9428571428571428,0.4852941176470588,0.6407766990291263,33,2,35,1930
0.55,0.9393939393939394,0.45588235294117646,0.6138613861386139,31,2,37,1930
0.56,0.967741935483871,0.4411764705882353,0.6060606060606061,30,1,38,1931
0.5700000000000001,0.9666666666666667,0.4264705882352941,0.5918367346938775,29,1,39,1931
0.58,0.9666666666666667,0.4264705882352941,0.5918367346938775,29,1,39,1931
0.59,0.9655172413793104,0.4117647058823529,0.5773195876288659,28,1,40,1931
0.6,0.9629629629629629,0.38235294117647056,0.5473684210526316,26,1,42,1931
0.61,0.9615384615384616,0.36764705882352944,0.5319148936170213,25,1,43,1931
0.62,0.96,0.35294117647058826,0.5161290322580645,24,1,44,1931
0.63,0.9583333333333334,0.3382352941176471,0.5,23,1,45,1931
0.64,0.9583333333333334,0.3382352941176471,0.5,23,1,45,1931
0.65,0.9545454545454546,0.3088235294117647,0.4666666666666667,21,1,47,1931
0.66,1.0,0.3088235294117647,0.47191011235955055,21,0,47,1932
0.67,1.0,0.29411764705882354,0.45454545454545453,20,0,48,1932
0.68,1.0,0.29411764705882354,0.45454545454545453,20,0,48,1932
0.6900000000000001,1.0,0.27941176470588236,0.4367816091954023,19,0,49,1932
0.7000000000000001,1.0,0.2647058823529412,0.4186046511627907,18,0,50,1932
0.71,1.0,0.2647058823529412,0.4186046511627907,18,0,50,1932
0.72,1.0,0.2647058823529412,0.4186046511627907,18,0,50,1932
